post_id,post_datetime,platform,content_type,category,impressions,reach,likes,comments,shares,saves,link_clicks,date,year,month,month_name,week,day_of_week,hour,quarter,time_slot,total_engagement,engagement_rate,reach_rate,ctr,performance_tier
POST_0022,2023-10-15 08:07:00,Facebook,Reel,Product Launch,34658,28006,8126,972,295,0,981,2023-10-15,2023,10,Oct,41,Sunday,8,4,Morning (6-11),9393,33.54,80.81,2.83,High Performer
POST_0023,2023-04-12 00:47:00,Instagram,Story,Behind the Scenes,3572,2849,241,12,15,8,83,2023-04-12,2023,4,Apr,15,Wednesday,0,2,Night (22-5),276,9.69,79.76,2.32,Average
POST_0024,2023-11-29 08:48:00,Facebook,Reel,Product Launch,29043,23894,5424,931,214,0,483,2023-11-29,2023,11,Nov,48,Wednesday,8,4,Morning (6-11),6569,27.49,82.27,1.66,High Performer
POST_0025,2023-12-26 01:30:00,Instagram,Image,Festive/Seasonal,14644,12510,1267,150,59,32,461,2023-12-26,2023,12,Dec,52,Tuesday,1,4,Night (22-5),1508,12.05,85.43,3.15,Average
POST_0026,2023-10-07 09:58:00,Twitter,Reel,Festive/Seasonal,47380,38296,8225,784,664,0,1413,2023-10-07,2023,10,Oct,40,Saturday,9,4,Morning (6-11),9673,25.26,80.83,2.98,High Performer
POST_0027,2023-08-03 10:15:00,Instagram,Carousel,Behind the Scenes,24390,16366,1559,260,112,32,213,2023-08-03,2023,8,Aug,31,Thursday,10,3,Morning (6-11),1963,11.99,67.1,0.87,Average
POST_0028,2023-04-23 07:44:00,Instagram,Image,Festive/Seasonal,38679,25190,1597,193,125,94,421,2023-04-23,2023,4,Apr,16,Sunday,7,2,Morning (6-11),2009,7.98,65.13,1.09,Needs Improvement
POST_0029,2023-08-18 10:38:00,Instagram,Story,Product Launch,6314,5282,437,70,33,23,67,2023-08-18,2023,8,Aug,33,Friday,10,3,Morning (6-11),563,10.66,83.66,1.06,Average
POST_0030,2023-10-29 17:45:00,Twitter,Image,Promotion/Sale,4600,3294,235,41,13,0,121,2023-10-29,2023,10,Oct,43,Sunday,17,4,Evening (17-21),289,8.77,71.61,2.63,Needs Improvement
POST_0031,2023-05-23 06:13:00,Instagram,Video,Promotion/Sale,38458,30544,6790,511,547,250,327,2023-05-23,2023,5,May,21,Tuesday,6,2,Morning (6-11),8098,26.51,79.42,0.85,High Performer
POST_0032,2023-01-04 05:25:00,Twitter,Video,Product Launch,14342,9957,3212,558,302,0,210,2023-01-04,2023,1,Jan,1,Wednesday,5,1,Night (22-5),4072,40.9,69.43,1.46,High Performer
POST_0033,2023-03-23 14:58:00,Instagram,Reel,Promotion/Sale,103036,88946,18089,1810,1620,705,1341,2023-03-23,2023,3,Mar,12,Thursday,14,1,Afternoon (12-16),22224,24.99,86.33,1.3,High Performer
POST_0034,2023-12-24 09:15:00,Twitter,Carousel,User Generated Content,17052,15074,2596,322,95,0,428,2023-12-24,2023,12,Dec,51,Sunday,9,4,Morning (6-11),3013,19.99,88.4,2.51,Average
POST_0035,2023-08-05 17:35:00,Facebook,Reel,Behind the Scenes,36726,30271,9318,901,471,0,1037,2023-08-05,2023,8,Aug,31,Saturday,17,3,Evening (17-21),10690,35.31,82.42,2.82,High Performer
POST_0036,2023-06-24 12:20:00,Facebook,Text,Behind the Scenes,10479,9082,616,71,40,0,308,2023-06-24,2023,6,Jun,25,Saturday,12,2,Afternoon (12-16),727,8.0,86.67,2.94,Needs Improvement
POST_0037,2023-05-23 14:49:00,Instagram,Carousel,Behind the Scenes,58364,50922,6144,607,224,336,564,2023-05-23,2023,5,May,21,Tuesday,14,2,Afternoon (12-16),7311,14.36,87.25,0.97,Average
POST_0038,2023-03-21 07:18:00,Instagram,Image,User Generated Content,34721,27278,2059,261,66,45,945,2023-03-21,2023,3,Mar,12,Tuesday,7,1,Morning (6-11),2431,8.91,78.56,2.72,Needs Improvement
POST_0039,2023-04-21 15:24:00,Twitter,Story,Promotion/Sale,2988,2517,129,16,4,0,29,2023-04-21,2023,4,Apr,16,Friday,15,2,Afternoon (12-16),149,5.92,84.24,0.97,Needs Improvement
POST_0040,2023-06-22 11:29:00,Instagram,Carousel,Promotion/Sale,19212,15084,2470,356,242,125,296,2023-06-22,2023,6,Jun,25,Thursday,11,2,Morning (6-11),3193,21.17,78.51,1.54,Average
POST_0041,2023-02-22 16:34:00,Twitter,Carousel,Behind the Scenes,5699,3816,288,50,25,0,117,2023-02-22,2023,2,Feb,8,Wednesday,16,1,Afternoon (12-16),363,9.51,66.96,2.05,Average
POST_0042,2023-02-17 21:41:00,Facebook,Image,Product Launch,21018,14572,918,75,62,0,458,2023-02-17,2023,2,Feb,7,Friday,21,1,Evening (17-21),1055,7.24,69.33,2.18,Needs Improvement
POST_0043,2023-07-14 11:22:00,Instagram,Image,Product Launch,15294,12762,1291,167,76,45,263,2023-07-14,2023,7,Jul,28,Friday,11,3,Morning (6-11),1579,12.37,83.44,1.72,Average
POST_0044,2023-02-19 08:19:00,Facebook,Carousel,Festive/Seasonal,46865,30630,2717,152,89,0,1092,2023-02-19,2023,2,Feb,7,Sunday,8,1,Morning (6-11),2958,9.66,65.36,2.33,Average
POST_0045,2023-07-03 13:16:00,Instagram,Video,User Generated Content,26080,20157,4395,318,265,192,573,2023-07-03,2023,7,Jul,27,Monday,13,3,Afternoon (12-16),5170,25.65,77.29,2.2,High Performer
POST_0046,2023-06-26 02:23:00,Instagram,Reel,Product Launch,56349,37265,8343,1095,544,595,1109,2023-06-26,2023,6,Jun,26,Monday,2,2,Night (22-5),10577,28.38,66.13,1.97,High Performer
POST_0047,2023-11-06 22:32:00,Facebook,Image,User Generated Content,9333,8260,852,85,63,0,196,2023-11-06,2023,11,Nov,45,Monday,22,4,Night (22-5),1000,12.11,88.5,2.1,Average
POST_0048,2023-05-16 23:56:00,Instagram,Text,User Generated Content,7062,6252,265,46,24,8,75,2023-05-16,2023,5,May,20,Tuesday,23,2,Night (22-5),343,5.49,88.53,1.06,Needs Improvement
POST_0049,2023-01-23 08:31:00,Instagram,Reel,Behind the Scenes,41344,30170,10387,550,903,383,408,2023-01-23,2023,1,Jan,4,Monday,8,1,Morning (6-11),12223,40.51,72.97,0.99,High Performer
POST_0050,2023-08-24 22:29:00,Twitter,Image,Festive/Seasonal,5113,4127,545,79,47,0,76,2023-08-24,2023,8,Aug,34,Thursday,22,3,Night (22-5),671,16.26,80.72,1.49,Average
POST_0051,2023-10-02 17:06:00,Twitter,Story,Promotion/Sale,5383,4831,317,31,26,0,97,2023-10-02,2023,10,Oct,40,Monday,17,4,Evening (17-21),374,7.74,89.75,1.8,Needs Improvement
POST_0052,2023-03-05 11:51:00,Facebook,Image,User Generated Content,11478,9923,884,130,73,0,129,2023-03-05,2023,3,Mar,9,Sunday,11,1,Morning (6-11),1087,10.95,86.45,1.12,Average
POST_0053,2023-07-13 08:46:00,Instagram,Story,Behind the Scenes,31641,23098,2320,233,71,172,294,2023-07-13,2023,7,Jul,28,Thursday,8,3,Morning (6-11),2796,12.1,73.0,0.93,Average
POST_0054,2023-02-10 23:30:00,Instagram,Video,Behind the Scenes,28678,25452,8270,1030,613,387,478,2023-02-10,2023,2,Feb,6,Friday,23,1,Night (22-5),10300,40.47,88.75,1.67,High Performer
POST_0055,2023-10-10 20:48:00,Instagram,Reel,Festive/Seasonal,130380,110548,36496,2257,2357,855,2927,2023-10-10,2023,10,Oct,41,Tuesday,20,4,Evening (17-21),41965,37.96,84.79,2.24,High Performer
POST_0056,2023-05-31 03:53:00,Instagram,Video,User Generated Content,21834,19037,3628,236,145,238,543,2023-05-31,2023,5,May,22,Wednesday,3,2,Night (22-5),4247,22.31,87.19,2.49,Average
POST_0057,2023-11-18 09:20:00,Instagram,Image,Product Launch,38286,31645,1766,107,174,74,668,2023-11-18,2023,11,Nov,46,Saturday,9,4,Morning (6-11),2121,6.7,82.65,1.74,Needs Improvement
POST_0059,2023-07-05 08:13:00,Facebook,Image,Festive/Seasonal,19466,17063,1001,114,30,0,410,2023-07-05,2023,7,Jul,27,Wednesday,8,3,Morning (6-11),1145,6.71,87.66,2.11,Needs Improvement
POST_0060,2023-10-23 17:23:00,Instagram,Image,Product Launch,8011,5445,322,43,26,17,211,2023-10-23,2023,10,Oct,43,Monday,17,4,Evening (17-21),408,7.49,67.97,2.63,Needs Improvement
POST_0061,2023-04-09 00:20:00,Instagram,Reel,Tutorial,36173,25534,9564,493,936,216,937,2023-04-09,2023,4,Apr,14,Sunday,0,2,Night (22-5),11209,43.9,70.59,2.59,High Performer
POST_0062,2023-12-27 20:26:00,Twitter,Reel,Product Launch,24733,22216,3263,398,319,0,570,2023-12-27,2023,12,Dec,52,Wednesday,20,4,Evening (17-21),3980,17.92,89.82,2.3,Average
POST_0063,2023-02-05 09:02:00,Twitter,Carousel,Tutorial,19761,15944,2489,416,82,0,293,2023-02-05,2023,2,Feb,5,Sunday,9,1,Morning (6-11),2987,18.73,80.68,1.48,Average
POST_0064,2023-01-24 00:36:00,Facebook,Story,Promotion/Sale,12145,10597,729,95,36,0,165,2023-01-24,2023,1,Jan,4,Tuesday,0,1,Night (22-5),860,8.12,87.25,1.36,Needs Improvement
POST_0065,2023-12-05 20:55:00,Facebook,Carousel,Festive/Seasonal,19140,12812,2720,484,214,0,334,2023-12-05,2023,12,Dec,49,Tuesday,20,4,Evening (17-21),3418,26.68,66.94,1.75,High Performer
POST_0066,2023-04-27 19:14:00,Facebook,Image,User Generated Content,13916,11876,1350,96,126,0,411,2023-04-27,2023,4,Apr,17,Thursday,19,2,Evening (17-21),1572,13.24,85.34,2.95,Average
POST_0067,2023-05-29 23:47:00,Facebook,Image,Promotion/Sale,9861,8544,447,23,25,0,293,2023-05-29,2023,5,May,22,Monday,23,2,Night (22-5),495,5.79,86.64,2.97,Needs Improvement
POST_0068,2023-02-10 21:09:00,Instagram,Reel,Tutorial,174602,120057,33627,3346,3291,2371,4219,2023-02-10,2023,2,Feb,6,Friday,21,1,Evening (17-21),42635,35.51,68.76,2.42,High Performer
POST_0069,2023-04-30 19:01:00,Twitter,Carousel,Tutorial,6010,3991,784,122,78,0,159,2023-04-30,2023,4,Apr,17,Sunday,19,2,Evening (17-21),984,24.66,66.41,2.65,High Performer
POST_0070,2023-02-21 20:16:00,Instagram,Image,Behind the Scenes,26437,22266,3088,495,146,145,308,2023-02-21,2023,2,Feb,8,Tuesday,20,1,Evening (17-21),3874,17.4,84.22,1.17,Average
POST_0071,2023-07-14 21:35:00,Facebook,Carousel,Behind the Scenes,20883,17080,2750,265,104,0,514,2023-07-14,2023,7,Jul,28,Friday,21,3,Evening (17-21),3119,18.26,81.79,2.46,Average
POST_0072,2023-05-23 19:59:00,Facebook,Carousel,Promotion/Sale,34164,28802,4231,680,290,0,772,2023-05-23,2023,5,May,21,Tuesday,19,2,Evening (17-21),5201,18.06,84.31,2.26,Average
POST_0073,2023-08-21 07:37:00,Facebook,Image,Promotion/Sale,10743,7060,850,111,67,0,115,2023-08-21,2023,8,Aug,34,Monday,7,3,Morning (6-11),1028,14.56,65.72,1.07,Average
POST_0074,2023-11-22 19:37:00,Instagram,Reel,Product Launch,54284,35481,7726,978,443,357,1317,2023-11-22,2023,11,Nov,47,Wednesday,19,4,Evening (17-21),9504,26.79,65.36,2.43,High Performer
POST_0075,2023-07-06 07:46:00,Instagram,Reel,Festive/Seasonal,112414,84213,24190,3921,2333,697,3183,2023-07-06,2023,7,Jul,27,Thursday,7,3,Morning (6-11),31141,36.98,74.91,2.83,High Performer
POST_0076,2023-03-25 06:26:00,Facebook,Carousel,Promotion/Sale,7415,5298,731,129,47,0,105,2023-03-25,2023,3,Mar,12,Saturday,6,1,Morning (6-11),907,17.12,71.45,1.42,Average
POST_0077,2023-07-09 07:18:00,Instagram,Reel,User Generated Content,29266,19965,3209,223,127,187,308,2023-07-09,2023,7,Jul,27,Sunday,7,3,Morning (6-11),3746,18.76,68.22,1.05,Average
POST_0078,2023-07-01 19:09:00,Facebook,Image,Product Launch,18626,16282,1522,208,64,0,256,2023-07-01,2023,7,Jul,26,Saturday,19,3,Evening (17-21),1794,11.02,87.42,1.37,Average
POST_0079,2023-04-18 19:12:00,Instagram,Video,Promotion/Sale,29906,20340,4377,336,242,219,624,2023-04-18,2023,4,Apr,16,Tuesday,19,2,Evening (17-21),5174,25.44,68.01,2.09,High Performer
POST_0080,2023-12-10 17:21:00,Instagram,Reel,Promotion/Sale,14012,11908,3438,208,313,258,140,2023-12-10,2023,12,Dec,49,Sunday,17,4,Evening (17-21),4217,35.41,84.98,1.0,High Performer
POST_0081,2023-05-17 04:14:00,Twitter,Reel,Product Launch,19138,13322,2419,237,154,0,380,2023-05-17,2023,5,May,20,Wednesday,4,2,Night (22-5),2810,21.09,69.61,1.99,Average
POST_0082,2023-12-26 03:24:00,Instagram,Video,Behind the Scenes,22786,17445,4874,266,232,306,642,2023-12-26,2023,12,Dec,52,Tuesday,3,4,Night (22-5),5678,32.55,76.56,2.82,High Performer
POST_0083,2023-12-16 15:36:00,Twitter,Image,User Generated Content,4035,3074,304,24,14,0,65,2023-12-16,2023,12,Dec,50,Saturday,15,4,Afternoon (12-16),342,11.13,76.18,1.61,Average
POST_0084,2023-11-28 01:53:00,Twitter,Image,Promotion/Sale,2452,1791,122,11,4,0,65,2023-11-28,2023,11,Nov,48,Tuesday,1,4,Night (22-5),137,7.65,73.04,2.65,Needs Improvement
POST_0086,2023-11-08 01:31:00,Instagram,Carousel,Festive/Seasonal,12911,9308,1156,154,80,47,368,2023-11-08,2023,11,Nov,45,Wednesday,1,4,Night (22-5),1437,15.44,72.09,2.85,Average
POST_0087,2023-11-22 09:35:00,Instagram,Video,Product Launch,26536,18262,3051,216,131,113,277,2023-11-22,2023,11,Nov,47,Wednesday,9,4,Morning (6-11),3511,19.23,68.82,1.04,Average
POST_0088,2023-03-29 04:41:00,Instagram,Story,Festive/Seasonal,16295,10918,805,83,79,21,239,2023-03-29,2023,3,Mar,13,Wednesday,4,1,Night (22-5),988,9.05,67.0,1.47,Needs Improvement
POST_0089,2023-10-01 21:43:00,Twitter,Story,Behind the Scenes,4335,3542,364,44,25,0,65,2023-10-01,2023,10,Oct,39,Sunday,21,4,Evening (17-21),433,12.22,81.71,1.5,Average
POST_0090,2023-05-06 08:21:00,Instagram,Video,Tutorial,107485,74891,13817,1455,905,477,1006,2023-05-06,2023,5,May,18,Saturday,8,2,Morning (6-11),16654,22.24,69.68,0.94,Average
POST_0091,2023-03-25 10:16:00,Twitter,Reel,Behind the Scenes,9612,6618,1662,198,55,0,133,2023-03-25,2023,3,Mar,12,Saturday,10,1,Morning (6-11),1915,28.94,68.85,1.38,High Performer
POST_0092,2023-08-25 06:48:00,Instagram,Carousel,Festive/Seasonal,12916,8600,1845,169,159,65,261,2023-08-25,2023,8,Aug,34,Friday,6,3,Morning (6-11),2238,26.02,66.58,2.02,High Performer
POST_0093,2023-07-14 19:52:00,Facebook,Image,Behind the Scenes,21535,16214,1321,225,116,0,631,2023-07-14,2023,7,Jul,28,Friday,19,3,Evening (17-21),1662,10.25,75.29,2.93,Average
POST_0094,2023-05-19 21:31:00,Facebook,Image,Festive/Seasonal,14262,11876,1639,120,56,0,382,2023-05-19,2023,5,May,20,Friday,21,2,Evening (17-21),1815,15.28,83.27,2.68,Average
POST_0095,2023-11-24 09:46:00,Facebook,Reel,Behind the Scenes,37649,31957,5740,409,238,0,1100,2023-11-24,2023,11,Nov,47,Friday,9,4,Morning (6-11),6387,19.99,84.88,2.92,Average
POST_0096,2023-12-19 12:41:00,Facebook,Image,Tutorial,19039,14865,1225,200,70,0,512,2023-12-19,2023,12,Dec,51,Tuesday,12,4,Afternoon (12-16),1495,10.06,78.08,2.69,Average
POST_0097,2023-10-13 07:47:00,Instagram,Reel,Product Launch,45629,33096,10570,1219,488,781,712,2023-10-13,2023,10,Oct,41,Friday,7,4,Morning (6-11),13058,39.45,72.53,1.56,High Performer
POST_0098,2023-04-23 05:31:00,Facebook,Carousel,Product Launch,11114,9742,1577,102,151,0,280,2023-04-23,2023,4,Apr,16,Sunday,5,2,Night (22-5),1830,18.78,87.66,2.52,Average
POST_0099,2023-12-17 21:29:00,Instagram,Story,Tutorial,25313,20377,1516,251,129,44,394,2023-12-17,2023,12,Dec,50,Sunday,21,4,Evening (17-21),1940,9.52,80.5,1.56,Average
POST_0100,2023-06-16 22:10:00,Facebook,Carousel,Festive/Seasonal,8497,7103,545,67,45,0,257,2023-06-16,2023,6,Jun,24,Friday,22,2,Night (22-5),657,9.25,83.59,3.02,Needs Improvement
POST_0101,2023-01-29 22:46:00,Instagram,Image,Behind the Scenes,8510,7332,441,44,37,12,123,2023-01-29,2023,1,Jan,4,Sunday,22,1,Night (22-5),534,7.28,86.16,1.45,Needs Improvement
POST_0102,2023-04-28 08:50:00,Instagram,Reel,Tutorial,91727,76134,22241,3118,1512,780,1550,2023-04-28,2023,4,Apr,17,Friday,8,2,Morning (6-11),27651,36.32,83.0,1.69,High Performer
POST_0103,2023-01-17 20:22:00,Twitter,Carousel,User Generated Content,9961,8833,831,104,54,0,250,2023-01-17,2023,1,Jan,3,Tuesday,20,1,Evening (17-21),989,11.2,88.68,2.51,Average
POST_0104,2023-06-11 19:10:00,Twitter,Video,User Generated Content,13807,11984,3844,474,302,0,451,2023-06-11,2023,6,Jun,23,Sunday,19,2,Evening (17-21),4620,38.55,86.8,3.27,High Performer
POST_0105,2023-07-25 11:08:00,Instagram,Carousel,Tutorial,18237,14620,1945,283,185,146,343,2023-07-25,2023,7,Jul,30,Tuesday,11,3,Morning (6-11),2559,17.5,80.17,1.88,Average
POST_0106,2023-05-18 02:46:00,Twitter,Reel,Promotion/Sale,7388,6621,2269,150,214,0,238,2023-05-18,2023,5,May,20,Thursday,2,2,Night (22-5),2633,39.77,89.62,3.22,High Performer
POST_0107,2023-02-03 19:34:00,Instagram,Image,Product Launch,40068,26592,2132,329,64,85,583,2023-02-03,2023,2,Feb,5,Friday,19,1,Evening (17-21),2610,9.81,66.37,1.46,Average
POST_0108,2023-04-19 07:31:00,Instagram,Reel,User Generated Content,93088,81914,17747,1687,1448,836,1371,2023-04-19,2023,4,Apr,16,Wednesday,7,2,Morning (6-11),21718,26.51,88.0,1.47,High Performer
POST_0109,2023-10-18 16:11:00,Instagram,Reel,Product Launch,16722,12952,3046,514,168,167,375,2023-10-18,2023,10,Oct,42,Wednesday,16,4,Afternoon (12-16),3895,30.07,77.45,2.24,High Performer
POST_0110,2023-06-11 16:58:00,Twitter,Image,Behind the Scenes,1905,1554,101,17,4,0,34,2023-06-11,2023,6,Jun,23,Sunday,16,2,Afternoon (12-16),122,7.85,81.57,1.78,Needs Improvement
POST_0111,2023-04-19 09:56:00,Instagram,Video,Tutorial,51352,43006,6838,1140,303,214,477,2023-04-19,2023,4,Apr,16,Wednesday,9,2,Morning (6-11),8495,19.75,83.75,0.93,Average
POST_0112,2023-12-02 20:34:00,Facebook,Carousel,User Generated Content,29572,23397,1905,287,117,0,602,2023-12-02,2023,12,Dec,48,Saturday,20,4,Evening (17-21),2309,9.87,79.12,2.04,Average
POST_0113,2023-09-13 13:41:00,Instagram,Story,Behind the Scenes,10650,7335,360,58,34,15,132,2023-09-13,2023,9,Sep,37,Wednesday,13,3,Afternoon (12-16),467,6.37,68.87,1.24,Needs Improvement
POST_0114,2023-07-22 03:03:00,Instagram,Carousel,Behind the Scenes,17499,13162,995,69,79,59,142,2023-07-22,2023,7,Jul,29,Saturday,3,3,Night (22-5),1202,9.13,75.22,0.81,Needs Improvement
POST_0115,2023-11-26 09:33:00,Instagram,Reel,Product Launch,83568,54730,8464,1303,359,500,938,2023-11-26,2023,11,Nov,47,Sunday,9,4,Morning (6-11),10626,19.42,65.49,1.12,Average
POST_0116,2023-08-23 07:02:00,Instagram,Video,Tutorial,31306,22252,6092,982,536,267,668,2023-08-23,2023,8,Aug,34,Wednesday,7,3,Morning (6-11),7877,35.4,71.08,2.13,High Performer
POST_0117,2023-03-15 04:53:00,Instagram,Carousel,Product Launch,25434,16614,1400,107,44,43,456,2023-03-15,2023,3,Mar,11,Wednesday,4,1,Night (22-5),1594,9.59,65.32,1.79,Average
POST_0118,2023-05-16 09:54:00,Instagram,Video,Behind the Scenes,51926,45340,13380,1263,644,572,1256,2023-05-16,2023,5,May,20,Tuesday,9,2,Morning (6-11),15859,34.98,87.32,2.42,High Performer
POST_0119,2023-03-13 19:04:00,Facebook,Image,Promotion/Sale,20686,16300,1464,129,141,0,536,2023-03-13,2023,3,Mar,11,Monday,19,1,Evening (17-21),1734,10.64,78.8,2.59,Average
POST_0120,2023-05-07 07:52:00,Instagram,Story,Tutorial,9243,8014,569,94,48,25,85,2023-05-07,2023,5,May,18,Sunday,7,2,Morning (6-11),736,9.18,86.7,0.92,Needs Improvement
POST_0121,2023-10-15 09:42:00,Instagram,Reel,Festive/Seasonal,99315,70957,11613,1841,1148,598,1075,2023-10-15,2023,10,Oct,41,Sunday,9,4,Morning (6-11),15200,21.42,71.45,1.08,Average
POST_0122,2023-10-03 15:03:00,Twitter,Carousel,User Generated Content,3389,2218,451,29,31,0,40,2023-10-03,2023,10,Oct,40,Tuesday,15,4,Afternoon (12-16),511,23.04,65.45,1.18,Average
POST_0123,2023-05-15 09:48:00,Instagram,Video,Tutorial,137981,96808,11080,751,1030,802,2703,2023-05-15,2023,5,May,20,Monday,9,2,Morning (6-11),13663,14.11,70.16,1.96,Average
POST_0124,2023-10-27 16:00:00,Twitter,Image,Promotion/Sale,6054,4941,320,54,18,0,106,2023-10-27,2023,10,Oct,43,Friday,16,4,Afternoon (12-16),392,7.93,81.62,1.75,Needs Improvement
POST_0125,2023-08-08 12:26:00,Instagram,Reel,Behind the Scenes,31728,26477,3950,507,186,171,494,2023-08-08,2023,8,Aug,32,Tuesday,12,3,Afternoon (12-16),4814,18.18,83.45,1.56,Average
POST_0126,2023-10-26 14:08:00,Facebook,Video,Promotion/Sale,29321,24329,4344,537,275,0,727,2023-10-26,2023,10,Oct,43,Thursday,14,4,Afternoon (12-16),5156,21.19,82.97,2.48,Average
POST_0127,2023-07-24 22:53:00,Facebook,Carousel,Promotion/Sale,8870,5834,640,81,21,0,145,2023-07-24,2023,7,Jul,30,Monday,22,3,Night (22-5),742,12.72,65.77,1.63,Average
POST_0128,2023-07-05 08:40:00,Instagram,Image,Promotion/Sale,34962,25646,3129,199,110,199,637,2023-07-05,2023,7,Jul,27,Wednesday,8,3,Morning (6-11),3637,14.18,73.35,1.82,Average
POST_0129,2023-04-23 14:14:00,Twitter,Image,Festive/Seasonal,4928,4212,525,73,25,0,116,2023-04-23,2023,4,Apr,16,Sunday,14,2,Afternoon (12-16),623,14.79,85.47,2.35,Average
POST_0130,2023-03-12 15:04:00,Instagram,Video,Product Launch,35043,23580,7486,507,722,350,366,2023-03-12,2023,3,Mar,10,Sunday,15,1,Afternoon (12-16),9065,38.44,67.29,1.04,High Performer
POST_0131,2023-09-18 15:45:00,Facebook,Carousel,User Generated Content,20518,17473,2915,408,260,0,305,2023-09-18,2023,9,Sep,38,Monday,15,3,Afternoon (12-16),3583,20.51,85.16,1.49,Average
POST_0132,2023-09-10 11:09:00,Twitter,Image,Behind the Scenes,4776,3368,481,83,15,0,104,2023-09-10,2023,9,Sep,36,Sunday,11,3,Morning (6-11),579,17.19,70.52,2.18,Average
POST_0133,2023-02-16 17:00:00,Instagram,Video,Product Launch,15832,13051,2330,396,228,178,316,2023-02-16,2023,2,Feb,7,Thursday,17,1,Evening (17-21),3132,24.0,82.43,2.0,High Performer
