post_id,post_datetime,platform,content_type,category,impressions,reach,likes,comments,shares,saves,link_clicks
POST_0071,2023-07-14 21:35:00,Facebook,Carousel,Behind the Scenes,20883,17080,2750,265,104,0.0,514
POST_0072,2023-05-23 19:59:00,Facebook,Carousel,Promotion/Sale,34164,28802,4231,680,290,0.0,772
POST_0073,2023-08-21 07:37:00,Facebook,Image,Promotion/Sale,10743,7060,850,111,67,0.0,115
POST_0074,2023-11-22 19:37:00,Instagram,Reel,Product Launch,54284,35481,7726,978,443,357.0,1317
POST_0075,2023-07-06 07:46:00,Instagram,Reel,Festive/Seasonal,112414,84213,24190,3921,2333,697.0,3183
POST_0076,2023-03-25 06:26:00,Facebook,Carousel,Promotion/Sale,7415,5298,731,129,47,0.0,105
POST_0077,2023-07-09 07:18:00,Instagram,Reel,User Generated Content,29266,19965,3209,223,127,187.0,308
POST_0078,2023-07-01 19:09:00,Facebook,Image,Product Launch,18626,16282,1522,208,64,0.0,256
POST_0079,2023-04-18 19:12:00,Instagram,Video,Promotion/Sale,29906,20340,4377,336,242,219.0,624
POST_0080,2023-12-10 17:21:00,Instagram,Reel,Promotion/Sale,14012,11908,3438,208,313,258.0,140
POST_0081,2023-05-17 04:14:00,Twitter,Reel,Product Launch,19138,13322,2419,237,154,0.0,380
POST_0082,2023-12-26 03:24:00,Instagram,Video,Behind the Scenes,22786,17445,4874,266,232,306.0,642
POST_0083,2023-12-16 15:36:00,Twitter,Image,User Generated Content,4035,3074,304,24,14,0.0,65
POST_0084,2023-11-28 01:53:00,Twitter,Image,Promotion/Sale,2452,1791,122,11,4,0.0,65
POST_0085,2023-02-06 19:15:00,Instagram,Text,Tutorial,27239,21099,594,71,42,38.0,484
POST_0086,2023-11-08 01:31:00,Instagram,Carousel,Festive/Seasonal,12911,9308,1156,154,80,47.0,368
POST_0087,2023-11-22 09:35:00,Instagram,Video,Product Launch,26536,18262,3051,216,131,113.0,277
POST_0088,2023-03-29 04:41:00,Instagram,Story,Festive/Seasonal,16295,10918,805,83,79,21.0,239
POST_0089,2023-10-01 21:43:00,Twitter,Story,Behind the Scenes,4335,3542,364,44,25,0.0,65
POST_0090,2023-05-06 08:21:00,Instagram,Video,Tutorial,107485,74891,13817,1455,905,477.0,1006
POST_0091,2023-03-25 10:16:00,Twitter,Reel,Behind the Scenes,9612,6618,1662,198,55,0.0,133
POST_0092,2023-08-25 06:48:00,Instagram,Carousel,Festive/Seasonal,12916,8600,1845,169,159,65.0,261
POST_0093,2023-07-14 19:52:00,Facebook,Image,Behind the Scenes,21535,16214,1321,225,116,0.0,631
POST_0094,2023-05-19 21:31:00,Facebook,Image,Festive/Seasonal,14262,11876,1639,120,56,0.0,382
POST_0095,2023-11-24 09:46:00,Facebook,Reel,Behind the Scenes,37649,31957,5740,409,238,0.0,1100
POST_0096,2023-12-19 12:41:00,Facebook,Image,Tutorial,19039,14865,1225,200,70,0.0,512
POST_0097,2023-10-13 07:47:00,Instagram,Reel,Product Launch,45629,33096,10570,1219,488,781.0,712
POST_0098,2023-04-23 05:31:00,Facebook,Carousel,Product Launch,11114,9742,1577,102,151,0.0,280
POST_0099,2023-12-17 21:29:00,Instagram,Story,Tutorial,25313,20377,1516,251,129,44.0,394
POST_0100,2023-06-16 22:10:00,Facebook,Carousel,Festive/Seasonal,8497,7103,545,67,45,0.0,257
POST_0101,2023-01-29 22:46:00,Instagram,Image,Behind the Scenes,8510,7332,441,44,37,12.0,123
POST_0102,2023-04-28 08:50:00,Instagram,Reel,Tutorial,91727,76134,22241,3118,1512,780.0,1550
POST_0103,2023-01-17 20:22:00,Twitter,Carousel,User Generated Content,9961,8833,831,104,54,0.0,250
POST_0104,2023-06-11 19:10:00,Twitter,Video,User Generated Content,13807,11984,3844,474,302,0.0,451
POST_0105,2023-07-25 11:08:00,Instagram,Carousel,Tutorial,18237,14620,1945,283,185,146.0,343
POST_0106,2023-05-18 02:46:00,Twitter,Reel,Promotion/Sale,7388,6621,2269,150,214,0.0,238
POST_0107,2023-02-03 19:34:00,Instagram,Image,Product Launch,40068,26592,2132,329,64,85.0,583
POST_0108,2023-04-19 07:31:00,Instagram,Reel,User Generated Content,93088,81914,17747,1687,1448,836.0,1371
POST_0109,2023-10-18 16:11:00,Instagram,Reel,Product Launch,16722,12952,3046,514,168,167.0,375
POST_0110,2023-06-11 16:58:00,Twitter,Image,Behind the Scenes,1905,1554,101,17,4,0.0,34
POST_0111,2023-04-19 09:56:00,Instagram,Video,Tutorial,51352,43006,6838,1140,303,214.0,477
POST_0112,2023-12-02 20:34:00,Facebook,Carousel,User Generated Content,29572,23397,1905,287,117,0.0,602
POST_0113,2023-09-13 13:41:00,Instagram,Story,Behind the Scenes,10650,7335,360,58,34,15.0,132
POST_0114,2023-07-22 03:03:00,Instagram,Carousel,Behind the Scenes,17499,13162,995,69,79,59.0,142
POST_0115,2023-11-26 09:33:00,Instagram,Reel,Product Launch,83568,54730,8464,1303,359,500.0,938
POST_0116,2023-08-23 07:02:00,Instagram,Video,Tutorial,31306,22252,6092,982,536,267.0,668
POST_0117,2023-03-15 04:53:00,Instagram,Carousel,Product Launch,25434,16614,1400,107,44,43.0,456
POST_0118,2023-05-16 09:54:00,Instagram,Video,Behind the Scenes,51926,45340,13380,1263,644,572.0,1256
POST_0119,2023-03-13 19:04:00,Facebook,Image,Promotion/Sale,20686,16300,1464,129,141,0.0,536
POST_0120,2023-05-07 07:52:00,Instagram,Story,Tutorial,9243,8014,569,94,48,25.0,85
POST_0121,2023-10-15 09:42:00,Instagram,Reel,Festive/Seasonal,99315,70957,11613,1841,1148,598.0,1075
POST_0122,2023-10-03 15:03:00,Twitter,Carousel,User Generated Content,3389,2218,451,29,31,0.0,40
POST_0123,2023-05-15 09:48:00,Instagram,Video,Tutorial,137981,96808,11080,751,1030,802.0,2703
POST_0124,2023-10-27 16:00:00,Twitter,Image,Promotion/Sale,6054,4941,320,54,18,0.0,106
POST_0125,2023-08-08 12:26:00,Instagram,Reel,Behind the Scenes,31728,26477,3950,507,186,171.0,494
POST_0126,2023-10-26 14:08:00,Facebook,Video,Promotion/Sale,29321,24329,4344,537,275,0.0,727
POST_0127,2023-07-24 22:53:00,Facebook,Carousel,Promotion/Sale,8870,5834,640,81,21,0.0,145
POST_0128,2023-07-05 08:40:00,Instagram,Image,Promotion/Sale,34962,25646,3129,199,110,199.0,637
POST_0129,2023-04-23 14:14:00,Twitter,Image,Festive/Seasonal,4928,4212,525,73,25,0.0,116
POST_0130,2023-03-12 15:04:00,Instagram,Video,Product Launch,35043,23580,7486,507,722,350.0,366
POST_0131,2023-09-18 15:45:00,Facebook,Carousel,User Generated Content,20518,17473,2915,408,260,0.0,305
POST_0132,2023-09-10 11:09:00,Twitter,Image,Behind the Scenes,4776,3368,481,83,15,0.0,104
POST_0133,2023-02-16 17:00:00,Instagram,Video,Product Launch,15832,13051,2330,396,228,178.0,316
POST_0134,2023-01-25 15:13:00,Instagram,Image,Tutorial,19485,16779,1319,208,42,73.0,283
POST_0135,2023-02-26 03:32:00,Instagram,Story,Behind the Scenes,9971,6644,390,46,33,15.0,191
POST_0136,2023-03-20 01:29:00,Twitter,Image,Tutorial,8680,6978,491,26,44,0.0,74
POST_0137,2023-11-18 01:23:00,Instagram,Story,User Generated Content,15399,13084,1411,134,118,62.0,319
POST_0138,2023-03-23 23:03:00,Twitter,Video,Promotion/Sale,15420,13391,4451,667,263,0.0,303
POST_0139,2023-12-15 03:39:00,Twitter,Story,User Generated Content,1557,1150,65,5,3,0.0,12
POST_0140,2023-08-05 07:40:00,Facebook,Carousel,Promotion/Sale,14767,13244,1769,176,137,0.0,219
POST_0141,2023-11-02 13:42:00,Facebook,Image,Behind the Scenes,21269,18848,1750,227,72,0.0,748
POST_0142,2023-02-02 09:59:00,Instagram,Image,User Generated Content,17117,15160,1673,215,110,56.0,231
POST_0143,2023-07-17 09:39:00,Instagram,Story,Product Launch,26514,19554,785,138,72,59.0,779
POST_0144,2023-07-15 22:58:00,Facebook,Video,Behind the Scenes,11134,8340,2350,330,95,0.0,287
POST_0145,2023-11-02 17:30:00,Instagram,Reel,Product Launch,31648,25262,6984,432,638,250.0,350
POST_0146,2023-08-28 13:42:00,Instagram,Carousel,User Generated Content,42869,38106,7474,1160,567,396.0,480
POST_0147,2023-09-28 14:31:00,Facebook,Image,Promotion/Sale,6997,5813,555,33,25,0.0,177
POST_0148,2023-05-09 18:01:00,Instagram,Image,Promotion/Sale,4865,4197,400,44,28,27.0,85
POST_0149,2023-10-11 21:00:00,Instagram,Reel,Promotion/Sale,66018,57413,19069,2585,1707,1373.0,1794
POST_0150,2023-01-06 16:34:00,Instagram,Story,User Generated Content,19082,15730,1336,174,110,39.0,572
POST_0151,2023-12-15 20:35:00,Facebook,Reel,Tutorial,41681,34840,5893,921,520,0.0,878
POST_0152,2023-02-28 14:26:00,Twitter,Image,Behind the Scenes,3398,2452,262,46,19,0.0,43
POST_0153,2023-12-16 21:00:00,Instagram,Image,User Generated Content,45609,30865,3736,449,363,151.0,894
POST_0154,2023-10-02 08:01:00,Facebook,Image,Tutorial,43855,29629,4088,569,142,0.0,563
POST_0155,2023-05-17 17:33:00,Twitter,Reel,Behind the Scenes,12837,9454,2712,151,246,0.0,370
POST_0156,2023-11-25 07:46:00,Instagram,Story,Festive/Seasonal,36678,30714,1393,206,44,29.0,605
POST_0157,2023-06-24 11:17:00,Twitter,Image,Behind the Scenes,7569,5763,428,76,25,0.0,135
POST_0158,2023-02-27 07:34:00,Instagram,Reel,Promotion/Sale,47457,40276,12307,968,440,748.0,1193
POST_0159,2023-05-31 09:18:00,Facebook,Image,Promotion/Sale,29517,22283,2435,247,119,0.0,880
POST_0160,2023-08-11 23:01:00,Twitter,Carousel,Festive/Seasonal,4867,4251,446,34,14,0.0,125
POST_0161,2023-03-22 09:32:00,Instagram,Image,Festive/Seasonal,34831,31070,2044,333,172,135.0,1098
POST_0162,2023-08-21 21:52:00,Twitter,Image,Promotion/Sale,13209,10653,645,34,60,0.0,303
POST_0163,2023-01-02 15:44:00,Twitter,Carousel,Festive/Seasonal,3763,2563,437,46,19,0.0,63
POST_0164,2023-05-15 02:43:00,Instagram,Carousel,Festive/Seasonal,12193,9699,1074,165,55,50.0,100
POST_0165,2023-09-14 08:27:00,Twitter,Text,User Generated Content,5087,4069,154,21,13,0.0,135
POST_0166,2023-04-02 22:51:00,Instagram,Image,User Generated Content,5106,3932,228,18,22,6.0,98
POST_0167,2023-09-17 22:58:00,Twitter,Reel,User Generated Content,17561,11457,2424,284,87,0.0,235
POST_0168,2023-02-24 20:11:00,Instagram,Carousel,Festive/Seasonal,23452,15704,2028,136,141,124.0,534
POST_0169,2023-11-17 03:06:00,Facebook,Carousel,Festive/Seasonal,6265,5069,880,47,84,0.0,58
POST_0170,2023-06-02 07:58:00,Instagram,Reel,Product Launch,77103,63784,22386,3197,1927,903.0,2197
POST_0171,2023-11-24 15:06:00,Instagram,Carousel,Festive/Seasonal,23639,19168,2833,411,101,66.0,333
POST_0172,2023-09-17 23:33:00,Instagram,Image,Festive/Seasonal,8134,7059,487,86,26,15.0,237
POST_0173,2023-11-08 01:09:00,Instagram,Text,Product Launch,7020,5825,203,36,19,11.0,93
POST_0174,2023-04-12 08:15:00,Twitter,Carousel,User Generated Content,28145,18802,1436,119,89,0.0,677
POST_0175,2023-03-20 23:12:00,Instagram,Story,Festive/Seasonal,10721,7895,495,88,16,35.0,216
POST_0176,2023-07-11 19:39:00,Instagram,Image,Product Launch,32904,27353,2590,423,240,117.0,500
POST_0177,2023-03-24 06:33:00,Instagram,Reel,Behind the Scenes,26717,21526,6235,905,244,392.0,802
POST_0178,2023-10-04 20:16:00,Facebook,Video,Product Launch,29997,21279,7013,515,629,0.0,527
POST_0179,2023-09-29 13:52:00,Facebook,Reel,Tutorial,41769,32525,7154,909,296,0.0,706
POST_0180,2023-01-01 14:22:00,Facebook,Reel,User Generated Content,58359,41699,12348,1139,1038,0.0,580
POST_0181,2023-11-03 20:17:00,Instagram,Story,User Generated Content,15350,10259,494,58,26,34.0,235
POST_0182,2023-06-15 07:50:00,Twitter,Video,Promotion/Sale,19280,15506,4191,300,174,0.0,172
POST_0183,2023-09-08 19:25:00,Instagram,Reel,Tutorial,91430,78725,26313,3317,2388,851.0,1051
POST_0184,2023-01-10 19:05:00,Instagram,Image,Tutorial,27235,18091,1790,307,58,48.0,426
POST_0185,2023-02-27 14:23:00,Instagram,Story,Behind the Scenes,16505,10899,508,90,49,10.0,420
POST_0186,2023-07-05 08:25:00,Instagram,Story,Behind the Scenes,28839,25002,1718,201,110,103.0,354
POST_0187,2023-06-07 23:29:00,Facebook,Carousel,Product Launch,12983,11587,990,136,60,,417
POST_0188,2023-05-03 23:36:00,Facebook,Carousel,User Generated Content,9148,7530,1450,250,112,0.0,187
POST_0189,2023-01-30 13:15:00,Instagram,Reel,Festive/Seasonal,78239,51449,18846,2631,1457,620.0,1531
POST_0190,2023-05-04 19:44:00,Twitter,Image,Tutorial,10004,8131,473,64,47,,93
POST_0191,2023-10-18 03:14:00,Facebook,Carousel,Tutorial,18870,15956,2451,357,224,0.0,353
POST_0192,2023-02-10 20:19:00,Instagram,Story,Behind the Scenes,19154,15646,1473,219,126,67.0,540
POST_0193,2023-02-13 04:43:00,Instagram,Story,Festive/Seasonal,4134,3022,188,19,14,8.0,70
POST_0194,2023-09-06 09:52:00,Facebook,Image,Product Launch,10969,8153,569,33,41,0.0,244
POST_0195,2023-02-05 19:54:00,Instagram,Carousel,Product Launch,33474,28982,4253,477,135,172.0,620
POST_0196,2023-09-30 14:05:00,Facebook,Reel,User Generated Content,51382,40850,10809,1394,903,0.0,1404
POST_0197,2023-03-06 00:41:00,Instagram,Image,Product Launch,18998,12634,1739,166,64,85.0,223
POST_0198,2023-03-07 07:54:00,Facebook,Image,Festive/Seasonal,16128,11722,1466,176,75,0.0,331
POST_0199,2023-12-04 04:41:00,Instagram,Carousel,User Generated Content,14265,9706,952,131,40,49.0,303
POST_0200,2023-09-01 10:48:00,Instagram,Story,Festive/Seasonal,6227,4930,268,46,17,18.0,130
POST_0201,2023-10-09 03:02:00,Instagram,Video,Product Launch,48783,39046,11538,1903,530,377.0,1106
POST_0202,2023-03-26 02:05:00,Facebook,Image,Product Launch,7201,6192,832,79,38,0.0,206
POST_0203,2023-05-16 11:25:00,Instagram,Carousel,Promotion/Sale,20923,17091,1465,192,90,80.0,257
POST_0204,2023-09-28 09:24:00,Twitter,Image,Festive/Seasonal,12315,10661,733,45,23,0.0,311
POST_0205,2023-11-07 14:24:00,Instagram,Text,Festive/Seasonal,9175,6860,360,41,35,10.0,211
POST_0206,2023-08-05 11:35:00,Twitter,Reel,Promotion/Sale,16084,12176,3795,531,377,,168
POST_0207,2023-04-19 07:30:00,Instagram,Story,Festive/Seasonal,26315,18908,788,48,72,24.0,372
POST_0208,2023-10-04 14:03:00,Instagram,Reel,User Generated Content,36300,26816,3909,459,135,265.0,456
POST_0209,2023-12-20 18:40:00,Facebook,Image,Tutorial,12564,9840,778,72,59,0.0,391
POST_0210,2023-04-13 21:00:00,Instagram,Reel,Tutorial,98391,77674,24470,2703,837,1314.0,3008
POST_0211,2023-06-09 16:44:00,Instagram,Video,Promotion/Sale,21923,17186,2297,249,190,93.0,514
POST_0212,2023-07-24 08:10:00,Instagram,Video,Tutorial,77977,68759,11314,1153,460,900.0,2599
POST_0213,2023-12-10 15:05:00,Instagram,Image,Behind the Scenes,16853,13581,768,113,29,53.0,454
POST_0214,2023-11-29 01:31:00,Facebook,Reel,Tutorial,30245,19932,4098,345,226,0.0,251
POST_0215,2023-07-11 23:54:00,Facebook,Story,Product Launch,5159,3865,263,33,17,0.0,145
POST_0216,2023-08-13 20:27:00,Facebook,Image,Tutorial,22931,20592,2671,205,254,,277
POST_0217,2023-09-22 10:41:00,Facebook,Carousel,Promotion/Sale,17543,15210,2860,436,146,0.0,189
POST_0218,2023-08-20 03:50:00,Twitter,Carousel,Promotion/Sale,7723,5354,921,87,90,0.0,156
POST_0219,2023-03-03 18:21:00,Facebook,Carousel,Behind the Scenes,18122,15959,2268,292,189,0.0,243
POST_0220,2023-05-07 11:36:00,Twitter,Image,Festive/Seasonal,4926,3692,229,22,7,0.0,39
POST_0221,2023-04-26 21:54:00,Instagram,Carousel,User Generated Content,45918,33426,4842,518,181,283.0,550
POST_0222,2023-02-02 08:06:00,Twitter,Text,Product Launch,6241,5071,158,9,13,,120
POST_0223,2023-06-23 05:57:00,Twitter,Reel,Product Launch,20505,14554,2392,157,122,0.0,189
POST_0224,2023-01-11 04:33:00,Instagram,Image,Tutorial,15183,10105,979,175,85,55.0,193
POST_0225,2023-10-29 15:58:00,Instagram,Image,Tutorial,13261,9052,1204,130,52,50.0,202
POST_0226,2023-10-11 14:02:00,Instagram,Carousel,User Generated Content,69084,57574,10523,541,622,514.0,608
POST_0227,2023-04-28 18:14:00,Facebook,Image,Festive/Seasonal,5838,4575,314,16,14,0.0,179
POST_0228,2023-10-29 09:13:00,Instagram,Reel,Product Launch,92326,82160,20777,1335,1420,981.0,2902
POST_0229,2023-04-23 14:57:00,Facebook,Reel,Promotion/Sale,23260,17006,5386,602,303,0.0,371
POST_0230,2023-01-04 08:55:00,Facebook,Story,User Generated Content,11699,9900,992,172,84,0.0,192
POST_0231,2023-02-06 12:44:00,Instagram,Video,Festive/Seasonal,32817,28229,3404,569,212,198.0,840
POST_0232,2023-12-29 10:56:00,Facebook,Image,Promotion/Sale,17750,14362,1535,90,101,0.0,208
POST_0233,2023-11-20 19:36:00,Instagram,Story,Behind the Scenes,28074,18540,780,111,27,18.0,192
POST_0234,2023-01-31 03:30:00,Twitter,Carousel,User Generated Content,14748,12305,1511,133,82,0.0,409
POST_0235,2023-04-28 16:17:00,Twitter,Carousel,User Generated Content,3412,2301,384,57,18,0.0,24
POST_0236,2023-02-04 21:02:00,Twitter,Image,User Generated Content,5962,5317,406,60,29,0.0,114
POST_0237,2023-01-17 13:59:00,Twitter,Story,Behind the Scenes,6467,5455,449,53,14,0.0,213
POST_0238,2023-06-19 20:04:00,Facebook,Reel,User Generated Content,69366,50165,19006,2437,1345,0.0,1627
POST_0239,2023-02-06 10:43:00,Instagram,Text,User Generated Content,4057,2980,204,16,11,9.0,69
POST_0240,2023-09-21 21:59:00,Instagram,Image,Promotion/Sale,41703,36939,2626,172,115,192.0,1085
POST_0241,2023-05-02 10:17:00,Instagram,Image,Promotion/Sale,22231,19154,2609,216,216,124.0,675
POST_0242,2023-05-23 20:57:00,Facebook,Reel,User Generated Content,60512,51078,15117,1104,1030,0.0,2019
POST_0243,2023-12-09 09:34:00,Instagram,Reel,User Generated Content,100572,85933,15696,1816,1394,1004.0,2257
POST_0244,2023-09-06 18:36:00,Instagram,Image,User Generated Content,14412,11199,857,105,67,62.0,325
POST_0245,2023-04-20 08:42:00,Instagram,Carousel,Festive/Seasonal,37881,24711,2656,383,264,68.0,544
POST_0246,2023-10-04 08:02:00,Facebook,Image,User Generated Content,30041,21059,2133,309,155,0.0,329
POST_0247,2023-03-09 07:11:00,Twitter,Image,Product Launch,14255,9284,1123,61,92,0.0,149
POST_0248,2023-10-20 22:59:00,Instagram,Reel,Tutorial,48005,35618,7540,522,387,547.0,1420
POST_0249,2023-10-23 17:54:00,Instagram,Image,Festive/Seasonal,14017,12216,1281,129,75,79.0,123
POST_0250,2023-08-31 12:20:00,Twitter,Image,User Generated Content,5383,3977,494,30,35,0.0,97
POST_0251,2023-05-05 03:01:00,Twitter,Image,Behind the Scenes,4594,3630,369,47,28,0.0,123
POST_0252,2023-08-31 02:13:00,Instagram,Story,Tutorial,7446,6375,458,27,15,18.0,213
POST_0253,2023-07-28 10:37:00,Instagram,Image,Festive/Seasonal,16064,12209,758,70,45,19.0,202
POST_0254,2023-04-08 19:09:00,Facebook,Image,Behind the Scenes,25610,21356,3071,526,230,0.0,483
POST_0255,2023-02-18 09:48:00,Instagram,Image,Behind the Scenes,20392,15344,1973,197,138,109.0,238
